iter	RMSE
288	0.3514379847
289	0.3511089483
290	0.3507789658
291	0.3505805728
292	0.3502858275
293	0.3500667154
294	0.3498292334
295	0.3496712735
296	0.3494070497
297	0.3490859309
298	0.3488984825
299	0.3486567172
300	0.3483304604
301	0.3479089202
302	0.3477402007
303	0.3474676813
304	0.3470943869
305	0.3468999532
306	0.3466263824
307	0.3463620265
308	0.3458758938
309	0.3455309446
310	0.3452363812
311	0.3449478493
312	0.3445017323
313	0.3441799377
314	0.3440234934
315	0.3437118803
316	0.343531881
317	0.3431229562
318	0.3428734035
319	0.34266656
320	0.3424041641
321	0.342019124
322	0.3418194736
323	0.3415063822
324	0.34135839
325	0.3410735481
326	0.3407817875
327	0.3406851358
328	0.3403766672
329	0.3400488267
330	0.3399167615
331	0.339586917
332	0.3392607134
333	0.339059468
334	0.3387052994
335	0.3384310692
336	0.3380899891
337	0.3379580531
338	0.3377421076
339	0.3374263212
340	0.3371966424
341	0.3370684763
342	0.3367502145
343	0.3365286363
344	0.3362637068
345	0.3360360142
346	0.3356927836
347	0.3354707768
348	0.3352918368
349	0.3350976326
350	0.3347147247
351	0.3345704437
352	0.3341781474
353	0.3339367637
354	0.3336276451
355	0.3333798113
356	0.333102844
357	0.332874346
358	0.3326605093
359	0.3323493735
360	0.3322278538
361	0.3319689484
362	0.3317523387
363	0.3315070041
364	0.3311958835
365	0.3310284503
366	0.3308037505
367	0.3305965743
368	0.3303285312
369	0.3300430162
370	0.329760783
371	0.3295756233
372	0.3292671513
373	0.3290207809
374	0.3286078693
375	0.3284735737
376	0.3282338916
377	0.3279796953
378	0.3278064281
379	0.3275168855
380	0.3272371352
381	0.3270176593
382	0.3267735567
383	0.3265460046
384	0.326261557
385	0.3260532862
386	0.3258748558
387	0.3256572583
388	0.3254450604
389	0.3252194489
390	0.3249867791
391	0.3248367998
392	0.3246709069
393	0.3245041945
394	0.3242606216
395	0.3239641196
396	0.3237425445
397	0.32358559
398	0.3234649279
399	0.3232930208
400	0.32315807
401	0.3226862753
402	0.3224740197
403	0.3222425247
404	0.321993518
405	0.3217991565
406	0.3215750132
407	0.3213744215
408	0.321098229
409	0.320891849
410	0.3206664024
411	0.3202067792
412	0.3200621465
413	0.3198690256
414	0.3195872685
415	0.3194344272
416	0.3192449214
417	0.3190385588
418	0.3188721686
419	0.3185522557
420	0.3183470933
421	0.3180921192
422	0.3177476692
423	0.3174935976
424	0.3172734011
425	0.3171411333
426	0.3169338811
427	0.3166982033
428	0.3165390807
429	0.3162857367
430	0.3161398641
431	0.3158486902
432	0.3156628484
433	0.3153898701
434	0.3152360501
435	0.315032203
436	0.3147821136
437	0.3145845173
438	0.3140951059
439	0.3139024861
440	0.3136418609
441	0.3133846005
442	0.3131050117
443	0.3128380168
444	0.3127358365
445	0.3125353971
446	0.3123335802
447	0.3121950827
448	0.3120437186
449	0.3118974087
450	0.3117424097
451	0.3115681945
452	0.3114257854
453	0.3113006632
454	0.3110762885
455	0.310960842
456	0.3107903987
457	0.3105896376
458	0.3102824145
459	0.3101202024
460	0.309884451
461	0.3097154409
462	0.3094713511
463	0.3092311307
464	0.3090424696
465	0.3089066887
466	0.3086598447
467	0.3084984288
468	0.3082305522
469	0.3079263766
470	0.3076172683
471	0.3074707477
472	0.3071941152
473	0.3070157283
474	0.3067823907
475	0.3066081029
476	0.3064078137
477	0.3061683105
478	0.3059284874
479	0.3057366752
480	0.3055176025
481	0.3053532609
482	0.3051804697
483	0.3050061907
484	0.304816142
485	0.3045687978
486	0.3044569759
487	0.3043235237
488	0.3041666077
489	0.3039587747
490	0.3038155054
491	0.3036152644
492	0.3035057688
493	0.3033353369
494	0.3031616682
495	0.3030000532
496	0.3027231452
497	0.3025922942
498	0.3021614332
499	0.3019171596
